FREQ_MHZ	GAIN_DBHIGH	PHASE_DEGHIGH	CAP_PREAMPHIGH	GAIN_DBLOW	PHASE_DEGLOW	CAP_PREAMPLOW
0.05	19.29	37.88	7.48	-0.51	25.95	6.97
0.051	19.31	37.16	7.48	-0.47	25.28	6.97
0.052	19.32	36.43	7.48	-0.43	24.6	6.97
0.053	19.34	35.74	7.48	-0.44	24.17	6.97
0.054	19.36	35.04	7.48	-0.46	23.75	6.97
0.055	19.37	34.34	7.48	-0.46	23.34	6.97
0.056	19.38	33.63	7.48	-0.45	22.92	6.97
0.057	19.39	32.92	7.48	-0.44	22.51	6.97
0.058	19.39	32.35	7.48	-0.44	22.22	6.97
0.059	19.39	31.78	7.48	-0.45	21.94	6.97
0.06	19.4	31.23	7.48	-0.45	21.55	6.97
0.061	19.4	30.7	7.48	-0.45	21.06	6.97
0.062	19.4	30.18	7.48	-0.45	20.56	6.97
0.063	19.4	29.7	7.48	-0.44	20.22	6.97
0.064	19.41	29.22	7.48	-0.43	19.87	6.97
0.065	19.41	28.73	7.48	-0.42	19.55	6.97
0.066	19.41	28.23	7.48	-0.42	19.27	6.97
0.067	19.42	27.74	7.48	-0.42	18.99	6.97
0.068	19.4	27.4	7.48	-0.44	18.76	6.97
0.069	19.39	27.05	7.48	-0.45	18.54	6.97
0.07	19.39	26.69	7.48	-0.45	18.34	6.97
0.071	19.4	26.31	7.48	-0.46	18.16	6.97
0.072	19.4	25.94	7.48	-0.46	17.97	6.97
0.073	19.41	25.6	7.48	-0.45	17.68	6.97
0.074	19.41	25.26	7.48	-0.44	17.39	6.97
0.075	19.42	24.92	7.48	-0.44	17.22	6.97
0.076	19.42	24.59	7.48	-0.45	17.12	6.97
0.077	19.42	24.27	7.48	-0.45	17	6.97
0.078	19.42	24.02	7.48	-0.46	16.71	6.97
0.079	19.42	23.76	7.48	-0.47	16.43	6.97
0.08	19.42	23.55	7.48	-0.47	16.21	6.97
0.081	19.41	23.35	7.48	-0.46	16.02	6.97
0.082	19.41	23.14	7.48	-0.45	15.84	6.97
0.083	19.42	22.88	7.48	-0.44	15.7	6.97
0.084	19.43	22.61	7.48	-0.43	15.56	6.97
0.085	19.44	22.42	7.48	-0.43	15.43	6.97
0.086	19.44	22.24	7.48	-0.44	15.29	6.97
0.087	19.45	22.05	7.48	-0.44	15.14	6.97
0.088	19.45	21.81	7.48	-0.45	14.98	6.97
0.089	19.46	21.57	7.48	-0.45	14.81	6.97
0.09	19.46	21.32	7.48	-0.44	14.66	6.97
0.091	19.47	21.07	7.48	-0.41	14.5	6.97
0.092	19.47	20.86	7.48	-0.4	14.35	6.97
0.093	19.47	20.73	7.48	-0.42	14.2	6.97
0.094	19.47	20.6	7.48	-0.44	14.05	6.97
0.095	19.48	20.36	7.48	-0.42	13.98	6.97
0.096	19.5	20.1	7.48	-0.39	13.92	6.97
0.097	19.5	19.86	7.48	-0.38	13.81	6.97
0.098	19.51	19.66	7.48	-0.39	13.61	6.97
0.099	19.51	19.46	7.48	-0.4	13.41	6.97
0.1	19.51	19.46	7.48	-0.4	13.41	6.97
0.11	19.56	17.83	7.48	-0.36	12.2	6.97
0.12	19.61	16.44	7.48	-0.33	11.09	6.97
0.13	19.64	14.93	7.48	-0.3	9.99	6.97
0.14	19.67	13.79	7.48	-0.3	9.17	6.97
0.15	19.67	12.76	7.48	-0.3	8.52	6.97
0.16	19.69	11.78	7.48	-0.3	7.75	6.97
0.17	19.7	10.92	7.48	-0.29	7.2	6.97
0.18	19.71	10.11	7.48	-0.27	6.53	6.97
0.19	19.71	9.46	7.48	-0.27	6.06	6.97
0.2	19.71	8.81	7.48	-0.28	5.69	6.97
0.21	19.73	8.2	7.48	-0.27	5.12	6.97
0.22	19.74	7.61	7.48	-0.27	4.72	6.97
0.23	19.74	6.99	7.48	-0.28	4.23	6.97
0.24	19.73	6.56	7.48	-0.28	3.97	6.97
0.25	19.74	6.15	7.48	-0.28	3.54	6.97
0.26	19.73	5.61	7.48	-0.29	3.26	6.97
0.27	19.74	5.29	7.48	-0.27	2.98	6.97
0.28	19.73	4.76	7.48	-0.27	2.66	6.97
0.29	19.73	4.47	7.48	-0.27	2.13	6.97
0.3	19.76	4.12	7.48	-0.29	1.93	6.97
0.31	19.76	3.74	7.48	-0.28	1.64	6.97
0.32	19.74	3.5	7.48	-0.27	1.37	6.97
0.33	19.76	3.01	7.48	-0.27	1.16	6.97
0.34	19.74	2.92	7.48	-0.28	0.95	6.97
0.35	19.76	2.69	7.48	-0.26	0.75	6.97
0.36	19.76	2.36	7.48	-0.27	0.67	6.97
0.37	19.77	2.2	7.48	-0.26	0.49	6.97
0.38	19.77	1.97	7.48	-0.27	0.29	6.97
0.39	19.76	1.78	7.48	-0.27	0.07	6.97
0.4	19.77	1.49	7.48	-0.26	-0.19	6.97
0.41	19.78	1.13	7.48	-0.26	-0.33	6.97
0.42	19.78	1.13	7.48	-0.26	-0.47	6.97
0.43	19.77	0.89	7.48	-0.25	-0.59	6.97
0.44	19.77	0.72	7.48	-0.27	-0.8	6.97
0.45	19.77	0.57	7.48	-0.27	-0.89	6.97
0.46	19.79	0.3	7.48	-0.24	-1.07	6.97
0.47	19.81	0.19	7.48	-0.26	-1.21	6.97
0.48	19.79	-0.05	7.48	-0.25	-1.36	6.97
0.49	19.8	-0.12	7.48	-0.25	-1.41	6.97
0.5	19.79	-0.43	7.48	-0.24	-1.58	6.97
0.51	19.79	-0.47	7.48	-0.26	-1.75	6.97
0.52	19.8	-0.82	7.48	-0.26	-1.88	6.97
0.53	19.81	-0.94	7.48	-0.24	-2.18	6.97
0.54	19.79	-1.09	7.48	-0.23	-2.16	6.97
0.55	19.8	-1.13	7.48	-0.25	-2.27	6.97
0.56	19.8	-1.39	7.48	-0.23	-2.37	6.97
0.57	19.79	-1.53	7.48	-0.23	-2.63	6.97
0.58	19.81	-1.65	7.48	-0.23	-2.79	6.97
0.59	19.8	-1.82	7.48	-0.22	-2.93	6.97
0.6	19.81	-2.01	7.48	-0.23	-2.92	6.97
0.61	19.82	-2.14	7.48	-0.23	-3.12	6.97
0.62	19.82	-2.27	7.48	-0.24	-3.26	6.97
0.63	19.82	-2.47	7.48	-0.23	-3.28	6.97
0.64	19.83	-2.58	7.48	-0.24	-3.52	6.97
0.65	19.82	-2.81	7.48	-0.23	-3.6	6.97
0.66	19.84	-2.93	7.48	-0.23	-3.79	6.97
0.67	19.84	-3.07	7.48	-0.23	-3.83	6.97
0.68	19.82	-3.14	7.48	-0.23	-3.93	6.97
0.69	19.83	-3.26	7.48	-0.22	-4.1	6.97
0.7	19.83	-3.49	7.48	-0.22	-4.23	6.97
0.71	19.83	-3.63	7.48	-0.21	-4.43	6.97
0.72	19.83	-3.62	7.48	-0.21	-4.55	6.97
0.73	19.84	-3.89	7.48	-0.22	-4.6	6.97
0.74	19.83	-3.92	7.48	-0.23	-4.63	6.97
0.75	19.85	-4.1	7.48	-0.2	-4.83	6.97
0.76	19.85	-4.21	7.48	-0.21	-4.91	6.97
0.77	19.84	-4.4	7.48	-0.21	-5.1	6.97
0.78	19.85	-4.59	7.48	-0.21	-5.21	6.97
0.79	19.86	-4.57	7.48	-0.2	-5.3	6.97
0.8	19.85	-4.78	7.48	-0.19	-5.48	6.97
0.81	19.86	-4.9	7.48	-0.2	-5.6	6.97
0.82	19.85	-4.99	7.48	-0.2	-5.72	6.97
0.83	19.86	-5.09	7.48	-0.19	-5.83	6.97
0.84	19.85	-5.19	7.48	-0.2	-5.95	6.97
0.85	19.86	-5.42	7.48	-0.19	-5.99	6.97
0.86	19.87	-5.51	7.48	-0.19	-6.11	6.97
0.87	19.88	-5.71	7.48	-0.18	-6.29	6.97
0.88	19.87	-5.82	7.48	-0.2	-6.4	6.97
0.89	19.88	-5.94	7.48	-0.19	-6.47	6.97
0.9	19.88	-6.07	7.48	-0.18	-6.6	6.97
0.91	19.87	-6.19	7.48	-0.17	-6.7	6.97
0.92	19.87	-6.25	7.48	-0.18	-6.8	6.97
0.93	19.89	-6.46	7.48	-0.2	-6.93	6.97
0.94	19.88	-6.6	7.48	-0.19	-7.03	6.97
0.95	19.87	-6.74	7.48	-0.2	-7.14	6.97
0.96	19.87	-6.84	7.48	-0.17	-7.29	6.97
0.97	19.88	-6.84	7.48	-0.18	-7.33	6.97
0.98	19.9	-7.13	7.48	-0.18	-7.46	6.97
0.99	19.89	-7.1	7.48	-0.18	-7.64	6.97
1	19.9	-7.3	7.49	-0.15	-7.64	6.98
1.1	19.91	-8.52	7.49	-0.16	-8.81	6.98
1.2	19.92	-9.73	7.49	-0.16	-9.98	6.98
1.3	19.93	-10.94	7.49	-0.16	-11.15	6.98
1.4	19.95	-12.02	7.49	-0.13	-12.18	6.98
1.5	19.96	-13.09	7.49	-0.12	-13.2	6.98
1.6	19.97	-14.15	7.49	-0.1	-14.23	6.98
1.7	19.97	-15.22	7.49	-0.09	-15.27	6.98
1.8	19.96	-16.29	7.49	-0.09	-16.32	6.98
1.9	19.96	-17.36	7.49	-0.09	-17.37	6.98
2	19.97	-18.45	7.49	-0.09	-18.38	6.98
2.1	19.97	-19.54	7.49	-0.11	-19.37	6.98
2.2	19.98	-20.64	7.49	-0.12	-20.37	6.98
2.3	19.98	-21.71	7.49	-0.12	-21.4	6.98
2.4	19.96	-22.78	7.49	-0.13	-22.44	6.98
2.5	19.95	-23.84	7.49	-0.13	-23.49	6.98
2.6	19.95	-24.89	7.49	-0.13	-24.56	6.98
2.7	19.95	-25.93	7.49	-0.13	-25.65	6.98
2.8	19.96	-26.97	7.49	-0.13	-26.74	6.98
