FREQ_MHz	SENS_DB	SENS_VPERPA	SENS_V2CM2PERW	CAP_PF
0.25	-263.38	6.78E-08	6.89E-05	89.325
0.3	-261.13	8.78E-08	1.16E-04	89.27
0.35	-259.91	1.01E-07	1.53E-04	89.216
0.4	-262.39	7.60E-08	8.66E-05	89.162
0.45	-263.03	7.05E-08	7.46E-05	89.109
0.5	-264.94	5.66E-08	4.81E-05	89.056
0.55	-263.71	6.52E-08	6.38E-05	89.003
0.6	-261.72	8.20E-08	1.01E-04	88.952
0.65	-261.71	8.22E-08	1.01E-04	88.9
0.7	-260.12	9.86E-08	1.46E-04	88.849
0.75	-261.96	7.98E-08	9.55E-05	88.799
0.8	-263.02	7.07E-08	7.49E-05	88.749
0.85	-261.14	8.77E-08	1.15E-04	88.7
0.9	-260.83	9.09E-08	1.24E-04	88.651
0.95	-260.3	9.66E-08	1.40E-04	88.603
1	-260.58	9.35E-08	1.31E-04	88.555
1.05	-261.49	8.43E-08	1.07E-04	88.507
1.1	-260.91	9.00E-08	1.22E-04	88.461
1.15	-259.42	1.07E-07	1.72E-04	88.414
1.2	-259.35	1.08E-07	1.74E-04	88.368
1.25	-260.36	9.59E-08	1.38E-04	88.322
1.3	-260.79	9.13E-08	1.25E-04	88.277
1.35	-260.18	9.79E-08	1.44E-04	88.233
1.4	-258.83	1.15E-07	1.97E-04	88.189
1.45	-258.26	1.22E-07	2.24E-04	88.145
1.5	-258.85	1.14E-07	1.95E-04	88.101
1.55	-259.51	1.06E-07	1.68E-04	88.059
1.6	-259.44	1.07E-07	1.71E-04	88.016
1.65	-258.61	1.17E-07	2.06E-04	87.974
1.7	-258.2	1.23E-07	2.27E-04	87.932
1.75	-258.34	1.21E-07	2.20E-04	87.891
1.8	-258.09	1.25E-07	2.33E-04	87.851
1.85	-257.54	1.33E-07	2.64E-04	87.81
1.9	-257.21	1.38E-07	2.85E-04	87.77
1.95	-257.47	1.34E-07	2.69E-04	87.731
2	-258.1	1.24E-07	2.32E-04	87.692
2.05	-258.11	1.24E-07	2.32E-04	87.653
2.1	-257.36	1.36E-07	2.75E-04	87.614
2.15	-256.77	1.45E-07	3.16E-04	87.576
2.2	-256.83	1.44E-07	3.11E-04	87.539
2.25	-257.3	1.37E-07	2.79E-04	87.502
2.3	-257.3	1.36E-07	2.79E-04	87.465
2.35	-256.95	1.42E-07	3.03E-04	87.428
2.4	-256.88	1.43E-07	3.08E-04	87.392
2.45	-256.87	1.43E-07	3.09E-04	87.356
2.5	-256.8	1.45E-07	3.14E-04	87.321
2.55	-256.78	1.45E-07	3.15E-04	87.286
2.6	-256.73	1.46E-07	3.19E-04	87.251
2.65	-256.63	1.48E-07	3.26E-04	87.217
2.7	-256.32	1.53E-07	3.50E-04	87.183
2.75	-256.2	1.55E-07	3.60E-04	87.149
2.8	-256.59	1.48E-07	3.29E-04	87.116
2.85	-256.71	1.46E-07	3.20E-04	87.083
2.9	-256.38	1.52E-07	3.45E-04	87.05
2.95	-256.37	1.52E-07	3.46E-04	87.018
3	-256.32	1.53E-07	3.50E-04	86.986
3.05	-256.19	1.55E-07	3.60E-04	86.955
3.1	-256	1.58E-07	3.77E-04	86.923
3.15	-256.09	1.57E-07	3.69E-04	86.892
3.2	-256.43	1.51E-07	3.41E-04	86.862
3.25	-256.45	1.51E-07	3.40E-04	86.831
3.3	-255.94	1.60E-07	3.82E-04	86.801
