FREQ_MHz	SENS_DB	SENS_VPERPA	SENS_V2CM2PERW	CAP_PF
1	-274.15	0.00000001962	0.0000057720	60.208
1.05	-274.52	0.00000001880	0.0000053030	60.178
1.1	-274.16	0.00000001959	0.0000057580	60.148
1.15	-274.3	0.00000001929	0.0000055790	60.119
1.2	-273.99	0.00000001997	0.0000059810	60.09
1.25	-274.09	0.00000001975	0.0000058480	60.062
1.3	-274.35	0.00000001917	0.0000055150	60.033
1.35	-274.14	0.00000001963	0.0000057790	60.005
1.4	-273.76	0.00000002051	0.0000063070	59.977
1.45	-273.74	0.00000002056	0.0000063420	59.95
1.5	-274.24	0.00000001941	0.0000056540	59.922
1.55	-273.78	0.00000002045	0.0000062750	59.895
1.6	-273.28	0.00000002168	0.0000070510	59.868
1.65	-273.63	0.00000002082	0.0000065020	59.841
1.7	-273.43	0.00000002130	0.0000068030	59.815
1.75	-272.78	0.00000002297	0.0000079120	59.788
1.8	-273.24	0.00000002178	0.0000071150	59.762
1.85	-272.86	0.00000002274	0.0000077550	59.736
1.9	-273	0.00000002239	0.0000075180	59.711
1.95	-272.62	0.00000002340	0.0000082140	59.685
2	-272.57	0.00000002351	0.0000082940	59.66
2.05	-273	0.00000002239	0.0000075210	59.635
2.1	-272.11	0.00000002481	0.0000092360	59.61
2.15	-272.29	0.00000002429	0.0000088520	59.585
2.2	-272.42	0.00000002393	0.0000085900	59.561
2.25	-271.99	0.00000002514	0.0000094830	59.537
2.3	-272.03	0.00000002503	0.0000094010	59.513
2.35	-271.92	0.00000002535	0.0000096410	59.489
2.4	-271.48	0.00000002668	0.0000106800	59.465
2.45	-271.71	0.00000002596	0.0000101100	59.442
2.5	-271.34	0.00000002709	0.0000110100	59.419
2.55	-271.22	0.00000002748	0.0000113300	59.396
2.6	-271.48	0.00000002667	0.0000106700	59.373
2.65	-271.31	0.00000002720	0.0000111000	59.35
2.7	-271.08	0.00000002794	0.0000117100	59.328
2.75	-271.08	0.00000002793	0.0000117000	59.306
2.8	-270.95	0.00000002834	0.0000120500	59.284
2.85	-270.75	0.00000002901	0.0000126200	59.262
2.9	-270.66	0.00000002931	0.0000128900	59.24
2.95	-270.46	0.00000002998	0.0000134800	59.219
3	-270.45	0.00000003003	0.0000135300	59.197
3.05	-270.34	0.00000003040	0.0000138600	59.176
3.1	-270.31	0.00000003052	0.0000139700	59.155
3.15	-270.12	0.00000003119	0.0000145900	59.134
3.2	-270.15	0.00000003110	0.0000145100	59.114
3.25	-269.97	0.00000003173	0.0000151000	59.093
3.3	-269.84	0.00000003220	0.0000155600	59.073
3.35	-269.8	0.00000003237	0.0000157200	59.053
3.4	-269.78	0.00000003244	0.0000157900	59.033
3.45	-269.62	0.00000003302	0.0000163600	59.013
3.5	-269.55	0.00000003330	0.0000166400	58.993
3.55	-269.47	0.00000003360	0.0000169400	58.974
3.6	-269.43	0.00000003377	0.0000171000	58.954
3.65	-269.37	0.00000003401	0.0000173500	58.935
3.7	-269.27	0.00000003441	0.0000177600	58.916
3.75	-269.32	0.00000003421	0.0000175500	58.897
3.8	-269.26	0.00000003442	0.0000177700	58.878
3.85	-269.19	0.00000003470	0.0000180600	58.86
3.9	-269.23	0.00000003456	0.0000179100	58.841
3.95	-269.13	0.00000003497	0.0000183400	58.823
4	-269.09	0.00000003511	0.0000184900	58.805
4.05	-269.07	0.00000003520	0.0000185800	58.787
4.1	-269	0.00000003549	0.0000188900	58.769
4.15	-269.05	0.00000003527	0.0000186600	58.751
4.2	-268.99	0.00000003550	0.0000189100	58.734
4.25	-268.91	0.00000003584	0.0000192700	58.716
4.3	-268.92	0.00000003582	0.0000192500	58.699
4.35	-268.83	0.00000003619	0.0000196500	58.682
4.4	-268.81	0.00000003627	0.0000197400	58.665
4.45	-268.8	0.00000003629	0.0000197600	58.648
4.5	-268.77	0.00000003644	0.0000199200	58.631
4.55	-268.81	0.00000003625	0.0000197100	58.614
4.6	-268.89	0.00000003594	0.0000193800	58.598
4.65	-268.86	0.00000003608	0.0000195200	58.581
4.7	-268.84	0.00000003616	0.0000196100	58.565
4.75	-268.84	0.00000003612	0.0000195700	58.549
4.8	-268.88	0.00000003600	0.0000194300	58.532
4.85	-268.87	0.00000003601	0.0000194500	58.516
4.9	-268.96	0.00000003565	0.0000190700	58.501
4.95	-268.97	0.00000003562	0.0000190300	58.485
5	-268.96	0.00000003564	0.0000190500	58.469
5.05	-268.96	0.00000003566	0.0000190800	58.454
5.1	-268.9	0.00000003589	0.0000193200	58.438
5.15	-268.92	0.00000003579	0.0000192200	58.423
5.2	-268.91	0.00000003585	0.0000192800	58.408
5.25	-268.86	0.00000003607	0.0000195100	58.393
5.3	-268.9	0.00000003588	0.0000193100	58.378
5.35	-268.95	0.00000003569	0.0000191000	58.363
5.4	-268.9	0.00000003588	0.0000193100	58.348
5.45	-268.94	0.00000003572	0.0000191300	58.334
5.5	-268.91	0.00000003584	0.0000192600	58.319
5.55	-268.9	0.00000003589	0.0000193200	58.304
5.6	-268.88	0.00000003597	0.0000194100	58.29
5.65	-268.97	0.00000003558	0.0000189900	58.276
5.7	-269	0.00000003548	0.0000188800	58.262
5.75	-269.02	0.00000003540	0.0000188000	58.248
5.8	-269.08	0.00000003515	0.0000185400	58.234
5.85	-269.08	0.00000003514	0.0000185200	58.22
5.9	-269.09	0.00000003512	0.0000185000	58.206
5.95	-269.15	0.00000003488	0.0000182500	58.192
6	-269.21	0.00000003465	0.0000180100	58.178
6.05	-269.2	0.00000003468	0.0000180400	58.165
6.1	-269.3	0.00000003428	0.0000176300	58.151
6.15	-269.31	0.00000003424	0.0000175900	58.138
6.2	-269.27	0.00000003441	0.0000177600	58.125
6.25	-269.29	0.00000003433	0.0000176800	58.111
6.3	-269.3	0.00000003428	0.0000176300	58.098
6.35	-269.29	0.00000003433	0.0000176800	58.085
6.4	-269.28	0.00000003437	0.0000177200	58.072
6.45	-269.26	0.00000003445	0.0000178000	58.059
6.5	-269.33	0.00000003415	0.0000175000	58.046
6.55	-269.35	0.00000003409	0.0000174300	58.034
6.6	-269.41	0.00000003386	0.0000171900	58.021
