FREQ_MHz	SENS_DB	SENS_VPERPA	SENS_V2CM2PERW	CAP_PF
0.25	-253.92	2.01E-07	6.08E-04	201.053
0.3	-252.42	2.39E-07	8.59E-04	200.854
0.35	-252.17	2.46E-07	9.10E-04	200.66
0.4	-251.5	2.66E-07	1.06E-03	200.473
0.45	-251.05	2.80E-07	1.18E-03	200.29
0.5	-250.96	2.83E-07	1.20E-03	200.114
0.55	-250.92	2.84E-07	1.21E-03	199.943
0.6	-250.86	2.86E-07	1.23E-03	199.778
0.65	-251.02	2.81E-07	1.19E-03	199.618
0.7	-251.17	2.76E-07	1.15E-03	199.463
0.75	-251.38	2.70E-07	1.09E-03	199.313
0.8	-251.6	2.63E-07	1.04E-03	199.169
0.85	-251.95	2.53E-07	9.58E-04	199.03
0.9	-252.18	2.46E-07	9.07E-04	198.896
0.95	-252.61	2.34E-07	8.23E-04	198.767
1	-253.02	2.23E-07	7.48E-04	198.643
1.05	-253.64	2.08E-07	6.49E-04	198.523
1.1	-254.25	1.94E-07	5.64E-04	198.409
1.15	-254.72	1.84E-07	5.06E-04	198.299
1.2	-254.84	1.81E-07	4.92E-04	198.195
1.25	-254.76	1.83E-07	5.01E-04	198.094
1.3	-254.62	1.86E-07	5.17E-04	197.999
1.35	-254.35	1.92E-07	5.51E-04	197.908
1.4	-254.29	1.93E-07	5.58E-04	197.822
1.45	-254.13	1.97E-07	5.80E-04	197.74
1.5	-253.97	2.00E-07	6.02E-04	197.662
1.55	-253.92	2.01E-07	6.08E-04	197.589
1.6	-253.99	2.00E-07	5.98E-04	197.52
1.65	-253.93	2.01E-07	6.07E-04	197.456
1.7	-253.89	2.02E-07	6.13E-04	197.396
1.75	-253.98	2.00E-07	6.00E-04	197.339
1.8	-253.95	2.01E-07	6.04E-04	197.287
1.85	-253.96	2.01E-07	6.03E-04	197.239
1.9	-254.26	1.94E-07	5.63E-04	197.195
1.95	-254.83	1.81E-07	4.93E-04	197.156
2	-255.64	1.65E-07	4.10E-04	197.121
2.05	-255.95	1.59E-07	3.81E-04	197.087
2.1	-255.17	1.74E-07	4.56E-04	197.059
2.15	-254.49	1.89E-07	5.33E-04	197.034
2.2	-254.13	1.97E-07	5.79E-04	197.013
2.25	-254.05	1.98E-07	5.90E-04	196.996
2.3	-253.97	2.00E-07	6.01E-04	196.982
2.35	-253.98	2.00E-07	6.00E-04	196.972
2.4	-254.01	1.99E-07	5.96E-04	196.965
2.45	-253.85	2.03E-07	6.19E-04	196.962
2.5	-253.8	2.04E-07	6.25E-04	196.963
2.55	-253.75	2.05E-07	6.32E-04	196.967
2.6	-253.75	2.05E-07	6.33E-04	196.974
2.65	-253.7	2.06E-07	6.39E-04	196.984
2.7	-253.66	2.08E-07	6.46E-04	196.998
2.75	-253.66	2.08E-07	6.46E-04	197.016
